,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
828,hope ur ok___Olivia Rodrigo,2022-03-28 03:48,Olivia Rodrigo,hope ur ok,194226,2022-03-28 03:48:00,0.443,0.298,0.0,-12.181,1.0,0.0644,0.388,1e-05,0.103,0.172,77.253,audio_features,1zejeOnykpCoyVSit6Bwp3,spotify:track:1zejeOnykpCoyVSit6Bwp3,https://api.spotify.com/v1/tracks/1zejeOnykpCoyVSit6Bwp3,https://api.spotify.com/v1/audio-analysis/1zejeOnykpCoyVSit6Bwp3,209560.0,4.0,SOUR,6s84u2TUpR3wdUv4NgKA2j
829,Faded___Alan Walker,2022-03-29 12:35,Alan Walker,Faded,212626,2022-03-29 12:35:00,0.589,0.651,6.0,-5.097,1.0,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,audio_features,7gHs73wELdeycvS48JfIos,spotify:track:7gHs73wELdeycvS48JfIos,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,212627.0,4.0,Faded,5HMjpBO0v78ayq5lreAyDd
830,His Dark Materials (From: His Dark Materials)___Geek Music,2022-03-29 12:37,Geek Music,His Dark Materials (From: His Dark Materials),93023,2022-03-29 12:37:00,0.318,0.424,5.0,-9.563,0.0,0.0304,0.346,0.95,0.139,0.487,85.852,audio_features,0d1frA6EfyfgZtV00a8kTs,spotify:track:0d1frA6EfyfgZtV00a8kTs,https://api.spotify.com/v1/tracks/0d1frA6EfyfgZtV00a8kTs,https://api.spotify.com/v1/audio-analysis/0d1frA6EfyfgZtV00a8kTs,93023.0,4.0,His Dark Materials (From: His Dark Materials),3rOIbpd5VJC9QewQ1SsuUf
831,Ode to Odd___20syl,2022-03-29 12:38,20syl,Ode to Odd,60446,2022-03-29 12:38:00,0.599,0.399,5.0,-11.782,0.0,0.0769,0.282,0.886,0.102,0.13,99.788,audio_features,5boanH5wwSZfW4OiXTh0Pz,spotify:track:5boanH5wwSZfW4OiXTh0Pz,https://api.spotify.com/v1/tracks/5boanH5wwSZfW4OiXTh0Pz,https://api.spotify.com/v1/audio-analysis/5boanH5wwSZfW4OiXTh0Pz,60447.0,4.0,36 (Beats & Types),7m90TeUDlLVOaJh4QumfEM
832,Rebellious Way___Basixx,2022-03-29 12:41,Basixx,Rebellious Way,196587,2022-03-29 12:41:00,0.685,0.863,9.0,-4.093,0.0,0.0471,0.0234,0.00616,0.0635,0.562,124.994,audio_features,3EYTjjzKjRiZgcCA6TBjgR,spotify:track:3EYTjjzKjRiZgcCA6TBjgR,https://api.spotify.com/v1/tracks/3EYTjjzKjRiZgcCA6TBjgR,https://api.spotify.com/v1/audio-analysis/3EYTjjzKjRiZgcCA6TBjgR,196587.0,4.0,Tell Me,6asoJJw7okL9DswlAjs167
833,Run It (feat. Rick Ross & Rich Brian)___DJ Snake,2022-03-29 12:44,DJ Snake,Run It (feat. Rick Ross & Rich Brian),163373,2022-03-29 12:44:00,0.688,0.725,2.0,-7.806,1.0,0.044,0.0195,7.63e-06,0.0726,0.225,104.006,audio_features,5x4vgABKiGp4Vg7ZyFRxhn,spotify:track:5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/tracks/5x4vgABKiGp4Vg7ZyFRxhn,https://api.spotify.com/v1/audio-analysis/5x4vgABKiGp4Vg7ZyFRxhn,163373.0,4.0,Shang-Chi and The Legend of The Ten Rings: The Album,2kAqjStKcwlDD59H0llhGC
834,Scam 1992 Theme Music___Achint,2022-03-29 12:46,Achint,Scam 1992 Theme Music,86206,2022-03-29 12:46:00,0.516,0.486,4.0,-11.45,0.0,0.0249,0.00411,0.277,0.34,0.454,87.045,audio_features,3A04b0nJb2nAzGUw2rqDsI,spotify:track:3A04b0nJb2nAzGUw2rqDsI,https://api.spotify.com/v1/tracks/3A04b0nJb2nAzGUw2rqDsI,https://api.spotify.com/v1/audio-analysis/3A04b0nJb2nAzGUw2rqDsI,86207.0,4.0,Scam 1992 Theme Music,2EMFH1MjFhmssiQz6lVXRh
835,Stranger Things___The Theme System,2022-03-29 12:47,The Theme System,Stranger Things,50714,2022-03-29 12:47:00,0.395,0.607,0.0,-14.035,1.0,0.035,0.718,0.943,0.131,0.21,167.9,audio_features,7z9AOGR6nZlvybNKDj6sDv,spotify:track:7z9AOGR6nZlvybNKDj6sDv,https://api.spotify.com/v1/tracks/7z9AOGR6nZlvybNKDj6sDv,https://api.spotify.com/v1/audio-analysis/7z9AOGR6nZlvybNKDj6sDv,50714.0,4.0,Stranger Things,3n000CK16tSAD6W8CPONeJ
836,Stars Crossed___Olivia Sanabia,2022-03-29 12:51,Olivia Sanabia,Stars Crossed,221500,2022-03-29 12:51:00,0.629,0.591,6.0,-8.702,1.0,0.0443,0.443,2.43e-06,0.0717,0.547,153.965,audio_features,2sqAm0feHglxC4y4Cmr42e,spotify:track:2sqAm0feHglxC4y4Cmr42e,https://api.spotify.com/v1/tracks/2sqAm0feHglxC4y4Cmr42e,https://api.spotify.com/v1/audio-analysis/2sqAm0feHglxC4y4Cmr42e,221500.0,4.0,Stars Crossed,3orvYVz39zr8Nzvi8RgTAC
837,Loki Green Theme___Natalie Holt,2022-03-29 12:53,Natalie Holt,Loki Green Theme,144761,2022-03-29 12:53:00,0.458,0.475,5.0,-12.581,1.0,0.032,0.76,0.836,0.125,0.132,126.055,audio_features,5T7DUEeAj0hkMLTzIlDCRz,spotify:track:5T7DUEeAj0hkMLTzIlDCRz,https://api.spotify.com/v1/tracks/5T7DUEeAj0hkMLTzIlDCRz,https://api.spotify.com/v1/audio-analysis/5T7DUEeAj0hkMLTzIlDCRz,144762.0,4.0,Loki: Vol. 1 (Episodes 1-3) [Original Soundtrack],5Wc11R3nufO8ZAFFhvBGEe
